"","commit_sha","project_name","commit_msg","merge","line_added","line_removed","churns","lines_of_code","dmm_unit_size","dmm_unit_complexity","dmm_unit_interfacing","token_count","num_modified_methods","num_modified_files","file_names","num_file_formats","file_formats","num_change_type","change_types","completion_status","statuses","workflows","checks","combined"
"1","6bedd529f8e3c5194784a50585cf9ebf48b78118","CommitCanvas","Initial commit",FALSE,1,0,1,0,NA,NA,NA,0,0,1,"['README.md']",1,"['.md']",1,"['ADD']","[]","[]","[]","[]","N/A"
"2","f90f62bce2544d86e0ddb722e8f1cf6ea9ce021d","CommitCanvas","Create actions.yml",FALSE,33,0,33,0,NA,NA,NA,0,0,1,"['actions.yml']",1,"['.yml']",1,"['ADD']","['completed']","[]","[]","['failure']","fail"
"3","30f0cad8ee12ae4e7c3b65d7e5bcde501432e787","CommitCanvas","Update README",FALSE,14,12,2,0,NA,NA,NA,0,0,1,"['README.md']",1,"['.md']",1,"['MODIFY']","['completed']","[]","[]","['success']","pass"
"4","6ba0cc06db53b77e6bfc21cb6aa26b5494323b62","CommitCanvas","Add bash uploader",FALSE,0,1,-1,0,NA,NA,NA,0,0,1,"['build.yml']",1,"['.yml']",1,"['MODIFY']","['completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed']","[]","[]","['success', 'success', 'success', 'success', 'cancelled', 'cancelled', 'cancelled', 'cancelled', 'failure']","fail"
"5","5fdb7f37b5acabc29d9393dca241b4e78954b0b3","CommitCanvas","Change bash uploader to codecov-action",FALSE,6,2,4,0,NA,NA,NA,0,0,1,"['build.yml']",1,"['.yml']",1,"['MODIFY']","[]","[]","['failure']","[]","fail"
"6","3ec17ad033a7df2c8b1af4ab751acbb614f8ae47","CommitCanvas","Fix minor error in build.yml",FALSE,1,1,0,0,NA,NA,NA,0,0,1,"['build.yml']",1,"['.yml']",1,"['MODIFY']","[]","[]","['failure']","[]","fail"
"7","7aa51fb565964c8f682f5e10cd5231352d7c89c7","CommitCanvas","Remove the bash uploader",FALSE,0,6,-6,0,NA,NA,NA,0,0,1,"['build.yml']",1,"['.yml']",1,"['MODIFY']","['completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed']","[]","[]","['success', 'success', 'success', 'success', 'success', 'success', 'success', 'success', 'success']","pass"
"8","4ef5246f841d0458068b05b312e43fdaefc36b7a","CommitCanvas","Remove steps in build.yml",FALSE,4,0,4,0,NA,NA,NA,0,0,1,"['build.yml']",1,"['.yml']",1,"['MODIFY']","[]","[]","['failure']","[]","fail"
"9","866ef2ed0f3e295830b8181422454bf7b7469fd7","CommitCanvas","Fix the github actions syntax error",FALSE,3,3,0,0,NA,NA,NA,0,0,1,"['build.yml']",1,"['.yml']",1,"['MODIFY']","['completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed']","[]","[]","['success', 'success', 'success', 'success', 'success', 'success', 'success', 'success', 'success']","pass"
"10","b69a2ea6cffa1af6a23aa8d6092aac4b2b13be53","CommitCanvas","Remove extra files",FALSE,0,1780,-1780,0,0,0,0,0,3,19,"['meta.json', 'cfg', 'model', 'moves', 'cfg', 'model', 'moves', 'cfg', 'model', 'tag_map', 'tokenizer', 'key2row', 'lexemes.bin', 'lookups.bin', 'lookups_extra.bin', 'strings.json', 'vectors', 'training_data.json', 'train_spacy_model.py']",10,"['.bin', '.json', '.py', 'cfg', 'key2row', 'model', 'moves', 'tag_map', 'tokenizer', 'vectors']",1,"['DELETE']","['completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed']","[]","[]","['success', 'success', 'success', 'success', 'success', 'success', 'success', 'success', 'success']","pass"
"11","f7af05999a4e8159fb4c0cbbc3ca0fd52b9208ad","CommitCanvas","Remove Future work from README.md",FALSE,1,6,-5,0,NA,NA,NA,0,0,2,"['build.yml', 'README.md']",2,"['.md', '.yml']",1,"['MODIFY']","['completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed']","[]","[]","['success', 'success', 'success', 'success', 'success', 'success', 'success', 'success', 'success']","pass"
"12","8179f06ba4fe7a17b0cc49c18e77f9db9399b3e2","CommitCanvas","Update revision id",FALSE,1,1,0,0,NA,NA,NA,0,0,1,"['.pre-commit-config.yaml']",1,"['.yaml']",1,"['MODIFY']","[]","[]","[]","[]","N/A"
"13","0a01dd610061a3775a76e87fe4e8680c7bb56463","CommitCanvas","Add tests to cover more checks",FALSE,5,0,5,53,NA,NA,NA,220,0,2,"['commit_message_checker.cpython-37.pyc', 'test_commit_canvas_check.py']",2,"['.py', '.pyc']",1,"['MODIFY']","['completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed']","[]","[]","['success', 'success', 'success', 'success', 'success', 'success', 'success', 'success', 'success']","pass"
"14","cac3470bb30cadf9bbd30f64af8d983b803478c8","CommitCanvas","add documentation",FALSE,2,0,2,0,NA,NA,NA,0,0,1,"['.pre-commit-config.yaml']",1,"['.yaml']",1,"['MODIFY']","['completed']","[]","[]","['success']","pass"
"15","6df30221fe9181f36681ae87e7f481860d26559b","CommitCanvas","Add tests to cover more checks",FALSE,6,1,5,58,NA,NA,NA,228,0,1,"['test_commit_canvas_check.py']",1,"['.py']",1,"['MODIFY']","['completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed']","[]","[]","['success', 'success', 'success', 'success', 'success', 'success', 'success', 'success', 'success']","pass"
"16","ce3bd71f745d4d90b1d5ae57c0543c6adb94ce8c","CommitCanvas","Add coverage",FALSE,32,3,29,0,NA,NA,NA,0,0,5,"['.coveragerc', 'Pipfile', 'README.md', 'poetry.lock', 'pyproject.toml']",5,"['', '.lock', '.md', '.toml', 'Pipfile']",2,"['ADD', 'MODIFY']","['completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed']","[]","[]","['success', 'success', 'success', 'success', 'success', 'success', 'success', 'success', 'success']","pass"
"17","0b0276be3d3b969a80c80e298a8e2a2261532f47","CommitCanvas","Add codecov file to ignore certain folders",FALSE,2,12,-10,0,NA,NA,NA,0,0,3,"['.coveragerc', 'README.md', 'codecov.yml']",3,"['', '.md', '.yml']",3,"['ADD', 'DELETE', 'MODIFY']","['completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed']","[]","[]","['success', 'success', 'success', 'success', 'success', 'success', 'success', 'success', 'success']","pass"
"18","3f01ddc97cfced8069f8527651284abaedd6fde6","CommitCanvas","Add issues templates",FALSE,78,0,78,0,NA,NA,NA,0,0,4,"['---bug-report.md', '---documentation.md', '---feature-request.md', 'PULL_REQUEST_TEMPLATE.md.md']",1,"['.md']",2,"['ADD', 'RENAME']","['completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed']","[]","[]","['success', 'success', 'success', 'success', 'success', 'success', 'success', 'success', 'success']","pass"
"19","866613f27404e307e6f3698a1360b9043c1bdcc2","CommitCanvas","Add issue_templates and pull_request template",FALSE,113,0,113,0,NA,NA,NA,0,0,5,"['bug-report.md', 'custom.md', 'documentation.md', 'feature-request.md', 'PULL_REQUEST_TEMPLATE.md']",1,"['.md']",1,"['ADD']","['completed']","[]","[]","['success']","pass"
"20","2a0e66631c6466dff2353a79905ff1ceadc49093","CommitCanvas","Fix a file name",FALSE,0,0,0,0,NA,NA,NA,0,0,1,"['other.md']",1,"['.md']",1,"['RENAME']","['completed']","[]","[]","['success']","pass"
"21","28140b1a6a5d5c5c181e6cbbd15fc328967cc5af","CommitCanvas","Remove title and ssignees section",FALSE,1,9,-8,0,NA,NA,NA,0,0,4,"['bug-report.md', 'documentation.md', 'feature-request.md', 'other.md']",1,"['.md']",1,"['MODIFY']","['completed']","[]","[]","['success']","pass"
"22","1e7b2a9980fecf9577f7446dc845298355af3a0a","CommitCanvas","Fix the urls",FALSE,2,2,0,0,NA,NA,NA,0,0,1,"['other.md']",1,"['.md']",1,"['MODIFY']","['completed']","[]","[]","['success']","pass"
"23","9dfa0ac69f3a5edbb93ae111c0c0128fbb22420b","CommitCanvas","Merge pull request #4 from CommittedTeam/issue_templates

issue and pull request templates",TRUE,0,0,0,0,NA,NA,NA,0,0,0,"[]",0,"[]",0,"[]","['completed']","[]","['success']","[]","pass"
"24","df275d5dddd7d3079484539f2349c41eea810471","CommitCanvas","Remove emojis from issue templates",FALSE,4,4,0,0,NA,NA,NA,0,0,4,"['bug-report.md', 'documentation.md', 'feature-request.md', 'other.md']",1,"['.md']",1,"['MODIFY']","['completed']","[]","['success']","[]","pass"
"25","52178b12fc74777c963a5e7ea83b0cbaf2fe1240","CommitCanvas","Update README",FALSE,1,3,-2,0,NA,NA,NA,0,0,1,"['README.md']",1,"['.md']",1,"['MODIFY']","['completed']","[]","[]","['success']","pass"
"26","0434766af3b10b5fb9f0aadf334bdd5c74c39824","CommitCanvas","Remove issue tmeplates since they are already on the master branch",FALSE,0,98,-98,0,NA,NA,NA,0,0,4,"['---bug-report.md', '---documentation.md', '---feature-request.md', 'PULL_REQUEST_TEMPLATE.md.md']",1,"['.md']",1,"['DELETE']","['completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed', 'completed']","['failure']","[]","['success', 'success', 'success', 'success', 'success', 'success', 'success', 'success', 'success']","fail"
